,input_string,output_string
244,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","(""drinks#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
245,The entertainment was great they have shows that go on through out the dinner.,"(""ambience#general"", ""POSITIVE"")"
246,"Please take my advice, go and try this place.","(""restaurant#general"", ""POSITIVE"")"
247,You will not be disapointed at all.,"(""restaurant#general"", ""POSITIVE"")"
248,We were not dissappointed in the least bit by this little gem.,"(""restaurant#general"", ""POSITIVE"")"
249,The bagel was huge.,"(""food#style_options"", ""POSITIVE"")"
250,They were served warm and had a soft fluffy interior.,"(""food#quality"", ""POSITIVE"")"
251,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,"(""food#style_options"", ""NEGATIVE"")"
252,I loved it and would HIGHLY RECOMMEND.,"(""restaurant#general"", ""POSITIVE"")"
253,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
254,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
255,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
256,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","(""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
257,All the staff is absolutely professional!! ,"(""service#general"", ""POSITIVE"")"
258,"(that is A MUST, but not every restaurant can do...) ","(""service#general"", ""POSITIVE"")"
259,"There's nice and quiet, small but enough for 6 (or more).","(""ambience#general"", ""POSITIVE"")"
260,This restaurant was way overhyped.,"(""restaurant#general"", ""NEGATIVE"")"
261,My chow fun and chow see was really bland and oily.,"(""food#quality"", ""NEGATIVE"")"
262,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,"(""food#quality"", ""NEGATIVE"")"
263,The scallion pancakes and fried dumplings were nothing out of the ordinary.,"(""food#quality"", ""NEUTRAL""); (""food#quality"", ""NEUTRAL"")"
264,The service was the only thing good about this restaurant.,"(""service#general"", ""POSITIVE""); (""restaurant#general"", ""NEGATIVE"")"
265,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","(""ambience#general"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
266,I definitely wouldn't go back.,"(""restaurant#general"", ""NEGATIVE"")"
267,Their pad penang is delicious and everything else is fantastic.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
268,The price is reasonable although the service is poor.,"(""restaurant#prices"", ""POSITIVE""); (""service#general"", ""NEGATIVE"")"
269,fresh restaurant was amazing........ food was delicious and of course fresh.,"(""restaurant#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
270,"great for a romantic evening, or a fun evening with friends...","(""ambience#general"", ""POSITIVE""); (""restaurant#miscellaneous"", ""POSITIVE"")"
271,I will be going back very soon.,"(""restaurant#general"", ""POSITIVE"")"
272,keep up the good work.,"(""restaurant#general"", ""POSITIVE"")"
273,Hats off to the chef.,"(""food#quality"", ""POSITIVE"")"
274,It was wonderful.,"(""restaurant#general"", ""POSITIVE"")"
275,"the salads are delicious, both refreshing and very spicy.","(""food#quality"", ""POSITIVE"")"
276,We had Pam's special fried fish and it was amazing.,"(""food#quality"", ""POSITIVE"")"
277,too large for just two people but nothing was left.,"(""food#style_options"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
278,"Great vibe, lots of people.","(""ambience#general"", ""POSITIVE"")"
279,"My husbands was perfect, my was well done and dry.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE"")"
280,"I didn't complain, I liked the atmosphere so much.","(""ambience#general"", ""POSITIVE"")"
281,On a hot day it was fabulous to stop in and enjoy lunch.,"(""restaurant#general"", ""POSITIVE"")"
282,"Ambience is so cute and quaint, good for business although we were there on vacation.","(""ambience#general"", ""POSITIVE""); (""restaurant#miscellaneous"", ""POSITIVE"")"
283,Salads were fantastic.,"(""food#quality"", ""POSITIVE"")"
284,Although we were looking for regular lettuce and some walnuts the salads we got were great.,"(""food#quality"", ""POSITIVE"")"
285,Ingredients are organic which is a real plus for me.,"(""food#quality"", ""POSITIVE"")"
286,We will be back.,"(""restaurant#general"", ""POSITIVE"")"
287,"This is some really good, inexpensive sushi.","(""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
288,The spicy Tuna roll is huge and probably the best that I've had at this price range.,"(""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
289,The Yellowtail was particularly good as well.,"(""food#quality"", ""POSITIVE"")"
290,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","(""food#style_options"", ""NEGATIVE""); (""food#prices"", ""NEGATIVE"")"
291,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.","(""restaurant#general"", ""POSITIVE"")"
292,Big Wong gets big Ups for a fine establishment.,"(""restaurant#general"", ""POSITIVE"")"
293,"They have it all -- great price, food, and service.","(""restaurant#general"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
294,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"(""ambience#general"", ""NEGATIVE""); (""service#general"", ""POSITIVE"")"
295,The food is prepared quickly and efficiently.,"(""service#general"", ""POSITIVE"")"
296,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","(""food#prices"", ""POSITIVE""); (""food#prices"", ""POSITIVE""); (""food#prices"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
297,The takeout is great too since they give high quality tupperware as well.,"(""service#general"", ""POSITIVE"")"
298,This place is always very crowded and popular.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
299,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
300,We both opted for a pasta dish and they were served timely and fresh.,"(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
301,"We concluded with tiramisu chocolate cake, both were delicious.","(""food#quality"", ""POSITIVE"")"
302,We'd go back again,"(""restaurant#general"", ""POSITIVE"")"
303,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,"(""restaurant#general"", ""POSITIVE"")"
304,"The staff was accomodating, the food was absolutely delicious and the place is lovely.","(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
305,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,"(""service#general"", ""POSITIVE"")"
306,"Yes, the prices are high, but I felt it was worth it.","(""restaurant#prices"", ""NEGATIVE""); (""restaurant#general"", ""POSITIVE"")"
307,We all felt it was worth it.,"(""restaurant#general"", ""POSITIVE"")"
308,sometimes i get good food and ok service.,"(""food#quality"", ""POSITIVE""); (""service#general"", ""NEUTRAL"")"
309,"sometimes i get bad food and bad service, sometimes i get good good and bad service.","(""food#quality"", ""NEGATIVE""); (""service#general"", ""NEGATIVE""); (""service#general"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
310,it is not consistent.,"(""restaurant#general"", ""NEGATIVE"")"
311,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,"(""food#style_options"", ""POSITIVE""); (""drinks#style_options"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
312,And where does Patis go wrong; no where. ,"(""restaurant#general"", ""POSITIVE"")"
313,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.","(""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
314,And evaluated on those terms Pastis is simply wonderful.,"(""restaurant#general"", ""POSITIVE"")"
315,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"(""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
316,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,"(""food#quality"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
317,My friend got the mushroom pizza which tasted better.,"(""food#quality"", ""POSITIVE"")"
318,The sangria was pretty tasty and good on a hot muggy day.,"(""drinks#quality"", ""POSITIVE"")"
319,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,"(""restaurant#miscellaneous"", ""NEUTRAL"")"
320,Overall I would recommend it and go back again.,"(""restaurant#general"", ""POSITIVE"")"
321,I started out with a Bombay beer which was big enough for two.,"(""drinks#style_options"", ""POSITIVE"")"
322,MMmmm... it was delicious.,"(""food#quality"", ""POSITIVE"")"
323,"Service was slow, but the people were friendly.","(""service#general"", ""NEGATIVE""); (""service#general"", ""POSITIVE"")"
324,It's a nice place to relax and have conversation.,"(""ambience#general"", ""POSITIVE"")"
325,I can't wait to go back.,"(""restaurant#general"", ""POSITIVE"")"
326,The food is authentic Italian - delicious!,"(""food#quality"", ""POSITIVE"")"
327,"Pizza is terrific, as is homemade pasta.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
328,"Ambience is delightful, service impeccable.","(""ambience#general"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
329,I'm still mad that i had to pay for lousy food.,"(""food#quality"", ""NEGATIVE"")"
330,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
331,Service was also horrible and the ambience is not that great.,"(""service#general"", ""NEGATIVE""); (""ambience#general"", ""NEGATIVE"")"
332,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,"(""restaurant#miscellaneous"", ""NEGATIVE"")"
333,I go and eat out at many different restaurants and this is one place you have go and try.,"(""restaurant#general"", ""POSITIVE"")"
334,This is my first time writing a review for a restaurant because the food and service was excellent.,"(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
335,The filet mignon dish was superb!,"(""food#quality"", ""POSITIVE"")"
336,I would defiantly come back here again as one of my top choices.,"(""restaurant#general"", ""POSITIVE"")"
337,It's a small cute restaurant.,"(""restaurant#general"", ""POSITIVE"")"
338,I absolutely love this place!!!,"(""restaurant#general"", ""POSITIVE"")"
339,"I like the ambience, it's very dark and original.","(""ambience#general"", ""POSITIVE"")"
340,The sushi is amazing!!! ,"(""food#quality"", ""POSITIVE"")"
341,And amazingly cheap.,"(""food#prices"", ""POSITIVE"")"
342,Big thumbs up!,"(""restaurant#general"", ""POSITIVE"")"
343,Very affordable and excellent ambient!,"(""ambience#general"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE"")"
344,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,"(""food#quality"", ""NEGATIVE"")"
345,We were very disappointed.,"(""food#quality"", ""NEGATIVE"")"
346,We won't go to this place again for a good meal.,"(""food#quality"", ""NEGATIVE"")"
347,"However, I think this place is a good hang out spot.","(""ambience#general"", ""POSITIVE"")"
348,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"(""restaurant#general"", ""POSITIVE"")"
349,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,"(""food#quality"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
350,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,"(""ambience#general"", ""POSITIVE"")"
351,"They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.","(""restaurant#miscellaneous"", ""POSITIVE"")"
352,Check this place out!,"(""restaurant#general"", ""POSITIVE"")"
353,HIGHLY RECOMMENDED!!!!!,"(""restaurant#general"", ""POSITIVE"")"
354,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.","(""ambience#general"", ""NEGATIVE"")"
355,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.","(""ambience#general"", ""NEGATIVE"")"
356,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","(""ambience#general"", ""NEGATIVE""); (""food#style_options"", ""NEUTRAL""); (""drinks#prices"", ""NEGATIVE"")"
357,Slightly above average wines start at $70+ with only one selection listed at $30+.,"(""drinks#quality"", ""NEGATIVE""); (""drinks#prices"", ""NEGATIVE"")"
358,Service is not what one would expect from a joint in this price category.,"(""service#general"", ""NEGATIVE"")"
359,"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc.... ","(""service#general"", ""NEGATIVE"")"
360,Somehow working the italian charm with constant mille grazie does not constitute proper service.,"(""service#general"", ""NEGATIVE"")"
361,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","(""food#quality"", ""POSITIVE""); (""restaurant#general"", ""NEGATIVE"")"
362,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,"(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
363,Fish was overdone.,"(""food#quality"", ""NEGATIVE"")"
364,"Cute place, nice wait staff but would never go there again.","(""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE""); (""restaurant#general"", ""NEGATIVE"")"
365,Someone else recommended the dessert - we also left that.,"(""food#quality"", ""NEGATIVE"")"
366,One of us actually liked the expresso - that's it.,"(""drinks#quality"", ""POSITIVE"")"
367,"Skip this restaurant, it's a big disappointment.","(""restaurant#general"", ""NEGATIVE"")"
368,Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,"(""restaurant#general"", ""POSITIVE"")"
369,I've never had bad service and the fish is fresh and delicious.,"(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
370,Their tuna tartar appetizer is to die for.,"(""food#quality"", ""POSITIVE"")"
371,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.","(""food#quality"", ""POSITIVE"")"
372,It is simply amazing.,"(""food#quality"", ""POSITIVE"")"
373,The place is so cool and the service is prompt and curtious.,"(""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
374,I highly recommend to anyone to give this place a try.,"(""restaurant#general"", ""POSITIVE"")"
375,You will find yourself returning quite often.,"(""restaurant#general"", ""POSITIVE"")"
376,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,"(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
377,No gimmicks here -- the food speaks for itself in its freshness and preparation.,"(""food#quality"", ""POSITIVE"")"
378,The dining room is quietly elegant with no music to shout over -- how refreshing!,"(""ambience#general"", ""POSITIVE"")"
379,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","(""service#general"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
380,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","(""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
381,Beautiful experience.,"(""restaurant#general"", ""POSITIVE"")"
382,The view is breathtaking the service is top notch... the ambiance is wonderfull.,"(""location#general"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
383,The staff offers impeccable service.,"(""service#general"", ""POSITIVE"")"
384,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,"(""food#quality"", ""POSITIVE"")"
385,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
386,It was divine melts in your mouth.,"(""food#quality"", ""POSITIVE"")"
387,My boyfriend had Prime Rib it was good .,"(""food#quality"", ""POSITIVE"")"
388,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,"(""drinks#style_options"", ""POSITIVE"")"
389,It's cuz it's so good you need to taste it!!! ,"(""food#quality"", ""POSITIVE"")"
390,All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,"(""restaurant#general"", ""POSITIVE"")"
391,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,"(""food#quality"", ""POSITIVE"")"
392,If you like spicy food get the chicken vindaloo.,"(""food#quality"", ""POSITIVE"")"
393,It's very spicy but not offensive.,"(""food#quality"", ""POSITIVE"")"
394,We will definitely go back.,"(""restaurant#general"", ""POSITIVE"")"
395,Go to Volare for 1st class service and terrific food.,"(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
396,The portions are large and the servers always surprise us with a different starter.,"(""food#style_options"", ""POSITIVE"")"
397,The wine list is excellent.,"(""drinks#style_options"", ""POSITIVE"")"
398,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,"(""food#quality"", ""POSITIVE""); (""drinks#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
399,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.","(""service#general"", ""POSITIVE""); (""ambience#general"", ""NEGATIVE""); (""restaurant#miscellaneous"", ""POSITIVE"")"
400,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"(""food#prices"", ""NEGATIVE""); (""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
401,Please be aware that it's CASH or AMEX only!,"(""restaurant#miscellaneous"", ""NEUTRAL"")"
402,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.","(""food#quality"", ""NEUTRAL""); (""food#quality"", ""NEGATIVE"")"
403,The menu is very limited - i think we counted 4 or 5 entrees.,"(""food#style_options"", ""NEGATIVE"")"
404,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","(""food#quality"", ""NEGATIVE"")"
405,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.","(""ambience#general"", ""NEUTRAL"")"
406,Problem is nothing at Prune is particularly memorable.,"(""restaurant#general"", ""NEGATIVE"")"
407,No plans to return anytime soon.,"(""restaurant#general"", ""NEGATIVE"")"
408,This place is so much fun.,"(""ambience#general"", ""POSITIVE"")"
409,Our family never expected such incredible entertainment in a restaurant.,"(""ambience#general"", ""POSITIVE"")"
410,Our food was great too!,"(""food#quality"", ""POSITIVE"")"
411,And really large portions.,"(""food#style_options"", ""POSITIVE"")"
412,The staff was the friendliest that have seen in New York.,"(""service#general"", ""POSITIVE"")"
413,We will go back every time we are in the City.,"(""restaurant#general"", ""POSITIVE"")"
414,If you want something really different than try Jekyll and Hyde.,"(""restaurant#general"", ""POSITIVE"")"
415,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,"(""ambience#general"", ""POSITIVE"")"
416,The food was pretty tradional but it was hot and good with large portions.,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
417,I highly recommend it.,"(""restaurant#general"", ""POSITIVE"")"
418,The place is a lot of fun.,"(""ambience#general"", ""POSITIVE"")"
419,My six year old loved it.,"(""restaurant#general"", ""POSITIVE"")"
420,The characters really make for an enjoyable experience.,"(""ambience#general"", ""POSITIVE"")"
421,"The food however, is what one might expect.","(""food#quality"", ""NEGATIVE"")"
422,It is very overpriced and not very tasty.,"(""food#quality"", ""NEGATIVE""); (""food#prices"", ""NEGATIVE"")"
423,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.","(""restaurant#general"", ""POSITIVE"")"
424,We had a good time.,"(""restaurant#general"", ""POSITIVE"")"
425,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"(""service#general"", ""NEGATIVE"")"
426,Service was slow had to wait to order and get food although not crowded.,"(""service#general"", ""NEGATIVE"")"
427,Drinks way over priced.,"(""drinks#prices"", ""NEGATIVE"")"
428,Food was good not great not worth the wait or another visit,"(""food#quality"", ""NEUTRAL""); (""restaurant#general"", ""NEGATIVE"")"
429,Great pizza for lunch place.,"(""food#quality"", ""POSITIVE"")"
430,Service was quick.,"(""service#general"", ""POSITIVE"")"
431,The pizza was great.,"(""food#quality"", ""POSITIVE"")"
432,And it was quick which is very important.,"(""service#general"", ""POSITIVE"")"
433,It was wonderful.,"(""drinks#quality"", ""POSITIVE"")"
434,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
435,Delivery is fast too.,"(""service#general"", ""POSITIVE"")"
436,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.","(""service#general"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
437,A little overpriced but worth it once you take a bite.,"(""food#prices"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
438,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,"(""food#quality"", ""POSITIVE"")"
439,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.","(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
440,They have a huge selection of different cream cheeses and all of their salads are great.,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
441,The lox is always fresh too.,"(""food#quality"", ""POSITIVE"")"
442,Highly recommended to all!,"(""restaurant#general"", ""POSITIVE"")"
443,Not impressed with the food.,"(""food#quality"", ""NEGATIVE"")"
444,Prices too high for this cramped and unappealing resturant.,"(""restaurant#prices"", ""NEGATIVE""); (""ambience#general"", ""NEGATIVE"")"
445,Zero ambiance to boot.,"(""ambience#general"", ""NEGATIVE"")"
446,I thought this place was totally overrated.,"(""restaurant#general"", ""NEGATIVE"")"
447,Everything we had was good or ok....but definitely nothing great.,"(""food#quality"", ""NEUTRAL"")"
448,"The ambience was nice, but service wasn't so great.","(""ambience#general"", ""POSITIVE""); (""service#general"", ""NEGATIVE"")"
449,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.","(""restaurant#general"", ""NEGATIVE""); (""restaurant#prices"", ""NEGATIVE"")"
450,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,"(""restaurant#general"", ""POSITIVE"")"
451,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,"(""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
452,Thius is a must for anyone who loves Shabu-Shabu.,"(""food#quality"", ""POSITIVE"")"
453,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.","(""ambience#general"", ""POSITIVE"")"
454,The owner and staff are all Japanese as well and that adds to the entire ambiance.,"(""restaurant#miscellaneous"", ""POSITIVE""); (""restaurant#miscellaneous"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
455,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","(""food#style_options"", ""NEGATIVE""); (""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
456,I must give it Yon out of Yon stars!,"(""restaurant#general"", ""POSITIVE"")"
457,Taxan delicious!,"(""food#quality"", ""POSITIVE"")"
458,We weren't!,"(""restaurant#general"", ""POSITIVE"")"
459,The prices were CHEAP compared to the quality of service and food.,"(""restaurant#prices"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
460,"We liked it so much, that we will always make it a point to dine here when we visit New York.","(""restaurant#general"", ""POSITIVE"")"
461,The location and ambience is Ok but the food is what makes up for it.,"(""location#general"", ""NEUTRAL""); (""ambience#general"", ""NEUTRAL""); (""food#quality"", ""POSITIVE"")"
462,There is a lot of variety even for people who eat vegetarian like me.,"(""food#style_options"", ""POSITIVE"")"
463,Try green curry with vegetables.,"(""food#quality"", ""POSITIVE"")"
464,"The quantity is also very good, you will come out satisfied.","(""food#style_options"", ""POSITIVE"")"
465,"The service is ok, some of the people didn't get what they asked for.","(""service#general"", ""NEUTRAL"")"
466,I was there on sat. for my birthday and we had an excellent time.,"(""restaurant#general"", ""POSITIVE"")"
467,I had the best ravioli ever.,"(""food#quality"", ""POSITIVE"")"
468,The wine the service was very good too.,"(""drinks#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
469,Moderate prices.,"(""restaurant#prices"", ""NEUTRAL"")"
470,A little noise but I think that was because of our party!,"(""ambience#general"", ""NEUTRAL"")"
471,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,"(""ambience#general"", ""POSITIVE""); (""restaurant#general"", ""POSITIVE"")"
472,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
473,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
474,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","(""ambience#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""NEGATIVE"")"
475,A guaranteeed delight!,"(""restaurant#general"", ""POSITIVE"")"
476,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","(""food#quality"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE""); (""drinks#prices"", ""POSITIVE"")"
477,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
478,Check out the secret back room.,"(""ambience#general"", ""POSITIVE"")"
479,I pray it stays open forever.,"(""restaurant#general"", ""POSITIVE"")"
480,Thank You Emilio.,"(""restaurant#general"", ""POSITIVE"")"
481,"I found the food, service and value exceptional everytime I have been there.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE"")"
482,The food was authentic.,"(""food#quality"", ""POSITIVE"")"
483,I felt as though I were eating in Paris.,"(""food#quality"", ""POSITIVE"")"
484,The service was excellent - friendly and attentive.,"(""service#general"", ""POSITIVE"")"
485,The prices are wonderfully low.,"(""restaurant#prices"", ""POSITIVE"")"
486,Very good wine choices.,"(""drinks#style_options"", ""POSITIVE"")"
487,Who has room for Cheesesticks with the best pizza in NYC!,"(""food#quality"", ""POSITIVE"")"
488,Get the pepperoni - YUM - and a family style salad.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
489,Great staff.,"(""service#general"", ""POSITIVE"")"
490,Always great service!,"(""service#general"", ""POSITIVE"")"
491,I go twice a month!,"(""restaurant#general"", ""POSITIVE"")"
492,Fantastic!,"(""restaurant#general"", ""POSITIVE"")"
493,"The food is good, I can't lie.","(""food#quality"", ""POSITIVE"")"
494,But the staff was so horrible to us.,"(""service#general"", ""NEGATIVE"")"
495,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,"(""service#general"", ""NEGATIVE""); (""service#general"", ""NEGATIVE"")"
496,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"(""service#general"", ""NEGATIVE"")"
